id,name,zip_code,id_county
1607,Kishuta,3994,5
1608,Kisigmánd,2948,9
1609,Kisjakabfalva,7773,3
1610,Kiskassa,7766,3
1611,Kiskinizs,3843,5
1612,Kisköre,3384,11
1613,Kiskőrös,6200,4
1614,Kiskorpád,7524,12
1615,Kiskunfélegyháza,6100,12
1616,Kiskunhalas,6400,12
1617,Kiskunlacháza,2340,7
1618,Kiskunmajsa,6120,12
1619,Kiskutas,8911,15
1620,Kisláng,8156,1
1621,Kisléta,4325,13
1622,Kislippó,7775,3
1623,Kislőd,8446,8
1624,Kismányok,7356,18
1625,Kismarja,4126,17
1626,Kismaros,2623,7
1627,Kisnamény,4737,13
1628,Kisnána,3264,4
1629,Kisnémedi,2165,7
1630,Kisnyárád,7759,3
1631,Kisoroszi,2024,7
1632,Kispalád,4956,13
1633,Kispáli,8912,15
1634,Kispirit,8496,8
1635,Kisrákos,9936,10
1636,Kisrécse,8756,15
1637,Kisrozvágy,3965,5
1638,Kissikátor,3627,5
1639,Kissomlyó,9555,10
1640,Kisszállás,6421,12
1641,Kisszékely,7082,18
1642,Kisszekeres,4963,13
1643,Kisszentmárton,7841,3
1644,Kissziget,8957,15
1645,Kisszőlős,8483,8
1646,Kistamási,7981,3
1647,Kistapolca,7823,3
1648,Kistarcsa,2143,7
1649,Kistelek,6760,14
1650,Kistokaj,3553,5
1651,Kistolmács,8868,15
1652,Kistormás,7068,18
1653,Kistótfalu,7768,3
1654,Kisújszállás,5310,2
1655,Kisunyom,9772,10
1656,Kisvárda,4600,13
1657,Kisvarsány,4811,13
1658,Kisvásárhely,8341,15
1659,Kisvaszar,7381,3
1660,Kisvejke,7183,18
1661,Kiszombor,6775,14
1662,Kiszsidány,9733,10
1663,Klárafalva,6773,14
1664,Köblény,7334,9
1665,Kocs,2898,7
1666,Kocsér,2755,18
1667,Köcsk,9553,13
1668,Kocsola,7212,7
1669,Kocsord,4751,17
1670,Kóka,2243,8
1671,Kokad,4284,17
1672,Kökény,7668,9
1673,Kőkút,7530,9
1674,Kölcse,4965,9
1675,Kölesd,7052,5
1676,Kölked,7717,3
1677,Kolontár,8468,3
1678,Komádi,4138,13
1679,Komárom,2903,11
1680,Komárom,2921,5
1681,Komárom,2900,13
1682,Komjáti,3765,4
1683,Komló,7305,5
1684,Komló,7300,10
1685,Kömlő,3372,16
1686,Kömlőd,2853,6
1687,Komlódtótfalu,4765,17
1688,Komlósd,7582,6
1689,Komlóska,3937,18
1690,Komoró,4622,5
1691,Kömörő,4943,6
1692,Kömpöc,6134,3
1693,Kompolt,3356,7
1694,Kondó,3775,7
1695,Kondorfa,9943,13
1696,Kondoros,5553,3
1697,Kóny,9144,3
1698,Konyár,4133,5
1699,Kópháza,9495,19
1700,Koppányszántó,7094,3
1701,Korlát,3886,15
1702,Körmend,9909,3
1703,Körmend,9900,10
1704,Környe,2851,3
1705,Köröm,3577,11
1706,Koroncó,9113,13
1707,Kórós,7841,18
1708,Kőröshegy,8617,3
1709,Körösladány,5516,4
1710,Körösnagyharsány,5539,9
1711,Körösszakál,4136,13
1712,Körösszegapáti,4135,12
1713,Köröstarcsa,5622,10
1714,Kőröstetétlen,2745,10
1715,Körösújfalu,5536,9
1716,Kosd,2612,5
1717,Kóspallag,2625,11
1718,Kőszárhegy,8152,16
1719,Kőszeg,9730,16
1720,Kőszegdoroszló,9725,16
1721,Kőszegpaty,9739,7
1722,Kőszegszerdahely,9725,16
1723,Kótaj,4482,17
1724,Kötcse,8627,17
1725,Kötegyán,5725,1
1726,Kőtelek,5062,10
1727,Kovácshida,7847,10
1728,Kovácsszénája,7678,10
1729,Kovácsvágás,3992,10
1730,Kővágóörs,8254,11
1731,Kővágószőlős,7673,16
1732,Kővágótőttős,7675,2
